                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1581,                 1.2672,                 1.2643,                0.74799,                 0.6514,                0.70136,                0.47274,                 1.2356,                 1.0389,                 1.2946,               0.004555,               0.004555,               0.004555
                     46,                 1.1702,                 1.2737,                  1.253,                0.72896,                0.64697,                0.69683,                0.47276,                 1.2402,                  1.045,                 1.2898,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.1527,                 1.2484,                  1.255,                0.73999,                 0.6655,                 0.7055,                0.47831,                 1.2394,                   1.03,                 1.2913,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.1619,                 1.2461,                 1.2665,                 0.7311,                0.67737,                0.70761,                0.47749,                   1.23,                 1.0226,                 1.2893,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.1399,                 1.2224,                 1.2489,                0.74441,                0.68714,                0.70594,                0.47791,                 1.2272,                  1.018,                 1.2868,                0.00406,                0.00406,                0.00406
                     50,                 1.1449,                 1.2214,                 1.2587,                0.74803,                0.66102,                0.70431,                0.47845,                 1.2134,                 1.0037,                 1.2781,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.1343,                 1.2013,                 1.2493,                0.74684,                0.66253,                0.70624,                0.48206,                 1.2139,                0.99744,                 1.2772,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.1237,                 1.1728,                  1.251,                0.75244,                0.67281,                0.71426,                0.48398,                 1.2125,                0.99535,                 1.2818,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.1232,                 1.1933,                 1.2376,                0.72781,                0.67746,                0.71082,                0.48624,                 1.2122,                0.99754,                 1.2787,               0.003565,               0.003565,               0.003565
                     54,                 1.1208,                 1.1792,                 1.2426,                0.74965,                0.68102,                0.71731,                0.48692,                 1.2162,                  0.991,                 1.2785,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.1173,                 1.1744,                 1.2314,                0.75517,                 0.6682,                0.72067,                0.49121,                 1.2088,                0.98243,                 1.2755,              0.0033175,              0.0033175,              0.0033175
                     56,                 1.0959,                 1.1616,                 1.2286,                0.73293,                0.69292,                0.71995,                0.49257,                 1.2175,                0.98094,                 1.2772,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.0884,                 1.1264,                 1.2238,                0.75343,                0.68487,                0.72135,                0.49308,                 1.2184,                0.97342,                 1.2761,                0.00307,                0.00307,                0.00307
                     58,                 1.0946,                 1.1473,                 1.2289,                0.73856,                0.69096,                0.72424,                0.49386,                 1.2138,                0.98244,                 1.2739,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.0907,                 1.1358,                 1.2211,                0.74081,                 0.6847,                0.72736,                 0.4983,                 1.2069,                0.97517,                 1.2704,              0.0028225,              0.0028225,              0.0028225
                     60,                   1.07,                 1.1249,                 1.2232,                0.73629,                0.70215,                0.73026,                 0.4988,                 1.2029,                0.97098,                 1.2654,              0.0026987,              0.0026987,              0.0026987
                     61,                 1.0629,                 1.0938,                 1.2109,                0.74814,                0.69144,                0.73217,                0.50082,                 1.2026,                0.96824,                 1.2651,               0.002575,               0.002575,               0.002575
                     62,                 1.0687,                 1.1141,                 1.2086,                0.75268,                0.69425,                0.73219,                0.50122,                 1.1967,                 0.9639,                 1.2614,              0.0024513,              0.0024513,              0.0024513
                     63,                 1.0516,                 1.0784,                 1.2002,                0.76972,                0.69183,                 0.7355,                0.50229,                 1.1935,                0.96229,                 1.2597,              0.0023275,              0.0023275,              0.0023275
                     64,                 1.0574,                 1.1086,                  1.209,                0.78905,                0.68646,                0.73407,                0.50113,                 1.1926,                 0.9561,                 1.2598,              0.0022038,              0.0022038,              0.0022038
                     65,                 1.0483,                 1.0674,                 1.1994,                0.79601,                0.67315,                0.73425,                0.50154,                 1.1939,                0.95158,                 1.2597,                0.00208,                0.00208,                0.00208
                     66,                 1.0342,                 1.0493,                 1.1917,                0.79444,                0.68066,                0.73953,                0.50438,                 1.1925,                0.95143,                 1.2604,              0.0019563,              0.0019563,              0.0019563
                     67,                 1.0471,                 1.0582,                 1.2023,                0.77932,                0.69175,                0.74096,                0.50506,                 1.1909,                0.94834,                 1.2589,              0.0018325,              0.0018325,              0.0018325
                     68,                 1.0343,                 1.0445,                 1.1994,                0.77892,                0.69959,                0.74329,                0.50562,                 1.1907,                0.94557,                 1.2592,              0.0017087,              0.0017087,              0.0017087
                     69,                   1.02,                 1.0309,                 1.1896,                0.77551,                0.70523,                0.74559,                0.50751,                 1.1895,                0.94696,                 1.2587,               0.001585,               0.001585,               0.001585
                     70,                 1.0312,                 1.0364,                 1.1956,                0.78667,                 0.6984,                0.74631,                0.50895,                 1.1885,                0.94589,                 1.2582,              0.0014612,              0.0014612,              0.0014612
                     71,                 1.0712,                0.95244,                  1.248,                0.77959,                0.70261,                 0.7487,                0.51109,                 1.1875,                0.94218,                 1.2567,              0.0013375,              0.0013375,              0.0013375
                     72,                 1.0536,                0.93226,                 1.2451,                0.77414,                0.70142,                0.74712,                0.51249,                 1.1848,                0.94294,                 1.2547,              0.0012138,              0.0012138,              0.0012138
                     73,                 1.0415,                0.92199,                 1.2409,                0.78146,                0.70893,                0.75047,                 0.5133,                 1.1845,                0.93886,                 1.2545,                0.00109,                0.00109,                0.00109
                     74,                 1.0221,                0.90221,                 1.2207,                0.78059,                0.71228,                0.75158,                0.51435,                 1.1839,                0.93852,                  1.253,             0.00096625,             0.00096625,             0.00096625
                     75,                 1.0324,                0.90847,                 1.2287,                0.78229,                 0.7112,                0.75386,                0.51604,                 1.1823,                 0.9362,                 1.2532,              0.0008425,              0.0008425,              0.0008425
                     76,                  1.007,                0.89475,                 1.2145,                0.78268,                0.70723,                0.75258,                0.51621,                 1.1826,                0.93465,                  1.253,             0.00071875,             0.00071875,             0.00071875
                     77,                 1.0098,                0.87297,                 1.2095,                0.78067,                 0.7093,                0.75402,                0.51704,                 1.1825,                0.93244,                 1.2529,               0.000595,               0.000595,               0.000595
                     78,                 0.9998,                0.87448,                 1.2109,                0.78197,                0.71049,                0.75586,                0.51762,                  1.182,                0.93101,                 1.2526,             0.00047125,             0.00047125,             0.00047125
                     79,                0.99351,                0.85299,                 1.2041,                0.77052,                0.71648,                0.75629,                0.51773,                 1.1815,                0.92943,                 1.2524,              0.0003475,              0.0003475,              0.0003475
                     80,                0.99132,                0.85081,                 1.2077,                0.78069,                 0.7124,                0.75742,                0.51849,                 1.1816,                0.92814,                 1.2527,             0.00022375,             0.00022375,             0.00022375
